gene_id;gene_name;seqname;type;weighted_fpkm
gene6654;CG14760;NT_033778.4;gene;0.0344004139225197
gene6655;CG30369;NT_033778.4;gene;7.15982891149229
gene6656;CG14759;NT_033778.4;gene;2.51287511728139
gene6657;CG2291;NT_033778.4;gene;9.89966657828122
gene6658;CG12126;NT_033778.4;gene;11.9295567200906
gene6659;CG30376;NT_033778.4;gene;23.0841869379977
gene6660;CG30375;NT_033778.4;gene;0.0925196414342091
gene6661;CG30371;NT_033778.4;gene;14.2643638318654
gene6662;CR44280;NT_033778.4;gene;0.0680897600217589
gene6663;mir-280;NT_033778.4;gene;NA
gene6664;CR44447;NT_033778.4;gene;0.140373056676804
gene6665;CR44448;NT_033778.4;gene;0.10802535741162
gene6666;lncRNA:TS18;NT_033778.4;gene;0.020239355548716
gene6667;CR44450;NT_033778.4;gene;0.101641884840944
gene6668;pdm3;NT_033778.4;gene;6.38244976895095
gene6669;CG11635;NT_033778.4;gene;10.9276965122883
gene6671;spaw;NT_033778.4;gene;16.3963224874594
gene6670;hubl;NT_033778.4;gene;3.55396835242056
gene6672;whip;NT_033778.4;gene;9.76817045502778
gene6673;cola;NT_033778.4;gene;5.42650535211039
gene6674;swif;NT_033778.4;gene;1.0870852171181
gene6675;boly;NT_033778.4;gene;12.0233014330251
gene6676;CG18449;NT_033778.4;gene;38.2118820551342
gene6677;CG2127;NT_033778.4;gene;45.3446156810093
gene6678;CG8701;NT_033778.4;gene;77.4851081398698
gene6679;CG2121;NT_033778.4;gene;7.21780335439426
gene6680;CG43296;NT_033778.4;gene;1.04333753702568
gene6681;CSN7;NT_033778.4;gene;36.4165556724535
gene6682;Lcp1;NT_033778.4;gene;0.664111694847442
gene6683;Lcp1Psi;NT_033778.4;pseudogene;0.091947231944157
gene6684;Lcp2;NT_033778.4;gene;0.104886002529834
gene6685;Lcp3;NT_033778.4;gene;0.939999574164791
gene6686;Lcp4;NT_033778.4;gene;0.218020807728061
gene6687;Cyp4ad1;NT_033778.4;gene;2.25463833961184
gene6688;Cyp4e2;NT_033778.4;gene;71.8601570732973
gene6689;mir-986;NT_033778.4;gene;NA
gene6690;Cyp4e1;NT_033778.4;gene;7.2214177661113
gene6691;Mal-A1;NT_033778.4;gene;143.808749643733
gene6692;Mal-A2;NT_033778.4;gene;10.6595689083173
gene6693;Mal-A3;NT_033778.4;gene;6.56438958180297
gene6694;Mal-A4;NT_033778.4;gene;5.78895481376374
gene6695;Mal-A5;NT_033778.4;gene;70.8508577576746
gene6696;Mal-A6;NT_033778.4;gene;85.4739478973602
gene6697;Mal-A7;NT_033778.4;gene;40.2713200034755
gene6698;Mal-A8;NT_033778.4;gene;28.4421770306391
gene6699;mtt;NT_033778.4;gene;5.4211954516166
gene6700;CR44279;NT_033778.4;gene;1.05926949128825
gene6701;CG12780;NT_033778.4;gene;63.3935506225155
gene6702;CR45308;NT_033778.4;gene;0.744005791035657
gene6703;Cyp6a14;NT_033778.4;gene;3.87488274177417
gene6704;Cyp6a15Psi;NT_033778.4;pseudogene;0.595270699223429
gene6705;Cyp6a13;NT_033778.4;gene;20.4033405501935
gene6706;CG42326;NT_033778.4;gene;1.40884066929504
gene6707;CG14752;NT_033778.4;gene;0.581689666050988
gene6708;CG43183;NT_033778.4;gene;8.32392186475634
gene6709;CG8736;NT_033778.4;gene;25.3358406448421
gene6710;CG8735;NT_033778.4;gene;27.7664063032553
gene6711;rgr;NT_033778.4;gene;8.90736831784546
gene6712;CG8642;NT_033778.4;gene;0.17043666655789
gene6713;Cirl;NT_033778.4;gene;34.6599591110705
gene6714;Vps25;NT_033778.4;gene;26.6016621293369
gene6715;beta3GalTII;NT_033778.4;gene;5.90092341434686
gene6716;CG14749;NT_033778.4;gene;15.2365837949382
gene6717;CG8635;NT_033778.4;gene;34.3224602464649
gene6718;ptc;NT_033778.4;gene;1.34553639522621
gene6719;CR44281;NT_033778.4;gene;0.912256931804135
gene6720;Acsl;NT_033778.4;gene;140.779174895094
gene6721;UQCR-11L;NT_033778.4;gene;15.429354734903
gene6722;CG30355;NT_033778.4;gene;14.614710719094
gene6723;tRNA:Leu-CAG-1-1;NT_033778.4;gene;0
gene6724;Jon44E;NT_033778.4;gene;10.2315330389702
gene6725;CG8586;NT_033778.4;gene;30.8758062053806
gene6726;CG8738;NT_033778.4;gene;6.48145216592091
gene6727;CG8584;NT_033778.4;gene;3.74484312763231
gene6728;CG12376;NT_033778.4;gene;4.36340462558359
gene6729;CG14744;NT_033778.4;gene;0.458797948296347
gene6730;PGRP-SC1a;NT_033778.4;gene;1.0489804875449
gene6731;CG14743;NT_033778.4;gene;0.411674220587186
gene6732;PGRP-SC1b;NT_033778.4;gene;0.881817903599431
gene6733;PGRP-SC2;NT_033778.4;gene;28.2721110261891
gene6734;CG14767;NT_033778.4;gene;144.381777746742
gene6735;CG30357;NT_033778.4;gene;4.61361699327801
gene6736;gcl;NT_033778.4;gene;34.7161030345492
gene6737;snoRNA:gcl-a;NT_033778.4;gene;2.74768883718076
gene6738;CG30356;NT_033778.4;gene;11.4782354092464
gene6739;stmA;NT_033778.4;gene;59.2936311899499
gene6740;CG8740;NT_033778.4;gene;11.057301625001
gene6741;CG42615;NT_033778.4;gene;3.44164065011854
gene6742;CR44277;NT_033778.4;gene;0.571558590928525
gene6743;CR44278;NT_033778.4;gene;0.402884380714329
gene6744;CG8746;NT_033778.4;gene;6.76649930141783
gene6745;sns;NT_033778.4;gene;4.53516673174666
gene6746;CG30350;NT_033778.4;gene;6.6417011294735
gene6747;RyR;NT_033778.4;gene;15.5126269506832
gene6748;CG8272;NT_033778.4;gene;8.64602041346908
gene6749;DCTN2-p50;NT_033778.4;gene;26.0327699586231
gene6750;Sec31;NT_033778.4;gene;24.1219214806758
gene6751;CR45202;NT_033778.4;gene;1.06334469004711
gene6752;ana2;NT_033778.4;gene;16.0946254387167
gene6753;CG13751;NT_033778.4;gene;63.8838741517413
gene6754;MrgBP;NT_033778.4;gene;17.7060976944551
gene6755;Ggamma1;NT_033778.4;gene;358.794809942114
gene6756;CCT8;NT_033778.4;gene;91.5742574808693
gene6757;CG30349;NT_033778.4;gene;25.6659724629898
gene6758;CG8252;NT_033778.4;gene;4.44678167064684
gene6759;Pgi;NT_033778.4;gene;211.859299538223
gene6760;lin;NT_033778.4;gene;9.56110033173543
gene6761;CG34219;NT_033778.4;gene;5.64653598385529
gene6762;CG8248;NT_033778.4;gene;16.6990315048284
gene6763;Spt;NT_033778.4;gene;2.82792013205576
gene6764;CG8243;NT_033778.4;gene;22.102498205984
gene6765;CG8237;NT_033778.4;gene;18.7305939459685
gene6766;AIMP1;NT_033778.4;gene;20.4659672393161
gene6767;PAN2;NT_033778.4;gene;21.1656326819295
gene6768;CG13749;NT_033778.4;gene;1.1944968752026
gene6769;FANCI;NT_033778.4;gene;2.93709692037221
gene6770;CG13748;NT_033778.4;gene;0.636600812391828
gene6771;CR44273;NT_033778.4;gene;0.0780575610720186
gene6772;CR44274;NT_033778.4;gene;0.288131994957882
gene6773;CG8230;NT_033778.4;gene;22.3846133878667
gene6774;CG33199;NT_033778.4;gene;195.465590186022
gene6775;CG8229;NT_033778.4;gene;24.4414928694129
gene6776;Tom7;NT_033778.4;gene;431.080988489512
gene6777;babo;NT_033778.4;gene;24.4182670371282
gene6778;spab;NT_033778.4;gene;47.0629016836549
gene6779;CG8213;NT_033778.4;gene;0.142281073059066
gene6780;Np;NT_033778.4;gene;0.0107141072715321
gene6781;CG8172;NT_033778.4;gene;0.0719545590423574
gene6782;CG13744;NT_033778.4;gene;0.0330494998080737
gene6783;CG13747;NT_033778.4;gene;13.9845862305895
gene6784;CG8170;NT_033778.4;gene;0.390830993978852
gene6785;Ance-4;NT_033778.4;gene;9.36831190505796
gene6786;PPO2;NT_033778.4;gene;7.34498213063984
gene6787;CG13743;NT_033778.4;gene;17.236525375078
gene6788;CG8197;NT_033778.4;gene;2.46088634175004
gene6789;ana;NT_033778.4;gene;11.225851133359
gene6790;CR45924;NT_033778.4;gene;1.04341727847026
gene6791;CNT2;NT_033778.4;gene;3.86992471365707
gene6792;CNT1;NT_033778.4;gene;6.17092624372363
gene6793;CG13742;NT_033778.4;gene;3.42470233358674
gene6794;Dbp45A;NT_033778.4;gene;13.748783606869
gene6795;CG8080;NT_033778.4;gene;18.6050089575452
gene6796;CG13741;NT_033778.4;gene;29.2075812464336
gene6797;Uhg4;NT_033778.4;gene;79.566421399571
gene6798;snoRNA:Psi28S-2949;NT_033778.4;gene;4.47775309404195
gene6799;snoRNA:Or-aca5;NT_033778.4;gene;1056.79999349459
gene6800;snoRNA:Me28S-G3255a;NT_033778.4;gene;0
gene6801;snoRNA:Me28S-A982a;NT_033778.4;gene;0
gene6802;snoRNA:Me28S-A982b;NT_033778.4;gene;0
gene6803;snoRNA:Me28S-G3255b;NT_033778.4;gene;0
gene6804;CG8078;NT_033778.4;gene;7.45681748117505
gene6805;snoRNA:Or-CD2;NT_033778.4;gene;1088.58568967243
gene6806;CG8777;NT_033778.4;gene;6.43167731275279
gene6807;Vang;NT_033778.4;gene;9.75266598604702
gene6808;Pmm45A;NT_033778.4;gene;35.4129840251891
gene6809;tsu;NT_033778.4;gene;43.774284777744
gene6810;Mys45A;NT_033778.4;gene;15.1231343606685
gene6811;Phax;NT_033778.4;gene;13.6417243489877
gene6812;Su(var)2-10;NT_033778.4;gene;42.3623522107756
gene6813;GstE13;NT_033778.4;gene;34.3249244176451
gene6814;CG18659;NT_033778.4;gene;25.1058502983591
gene6815;Hydr1;NT_033778.4;gene;38.2161354347012
gene6816;alc;NT_033778.4;gene;99.2474937515661
gene6817;CG44286;NT_033778.4;gene;70.27949906004
gene6818;CG8788;NT_033778.4;gene;6.24011719947286
gene6819;shrb;NT_033778.4;gene;78.2087784967571
gene6820;Prp38;NT_033778.4;gene;12.4657260437905
gene6821;CG30344;NT_033778.4;gene;27.4473473901827
gene6822;CG30345;NT_033778.4;gene;8.10040630836144
gene6823;CG8008;NT_033778.4;gene;9.09845243538255
gene6824;CR44283;NT_033778.4;gene;2.29158889694881
gene6825;CG8046;NT_033778.4;gene;0.870024014995139
gene6826;Rad51D;NT_033778.4;gene;1.3587995740567
gene6827;CG42382;NT_033778.4;gene;7.7076837683658
gene6828;Rme-8;NT_033778.4;gene;13.335104481103
gene6829;Rab32;NT_033778.4;gene;52.8287817645636
gene6830;CR44284;NT_033778.4;gene;0.565022001848066
gene6831;CG8026;NT_033778.4;gene;34.7292144196107
gene6832;CG45085;NT_033778.4;gene;26.5868258875281
gene6833;unpg;NT_033778.4;gene;1.35960813999716
gene6834;CG8027;NT_033778.4;gene;7.21293444935443
gene6835;VhaAC45;NT_033778.4;gene;171.979295840733
gene6836;CR45309;NT_033778.4;gene;0.00288078354475869
gene6837;CR44451;NT_033778.4;gene;0.0318773706170987
gene6838;hig;NT_033778.4;gene;62.2876635038621
gene6839;Cyp4p2;NT_033778.4;gene;9.93358962816832
gene6840;Cyp4p1;NT_033778.4;gene;34.3243463598
gene6841;Cyp4p3;NT_033778.4;gene;8.07776117726309
gene6842;CG30343;NT_033778.4;gene;3.68516380818128
gene6843;Pkn;NT_033778.4;gene;40.9632727705583
gene6844;CG34141;NT_033778.4;gene;2.76067567776858
gene6845;CR45132;NT_033778.4;gene;1.40055332045921
gene6846;CG2063;NT_033778.4;gene;17.0817137485712
gene6847;CG1968;NT_033778.4;gene;15.493806422688
gene6848;Mad1;NT_033778.4;gene;17.0143655971778
gene6849;Drep2;NT_033778.4;gene;24.9396078164863
gene6850;Myd88;NT_033778.4;gene;13.7398791222387
gene6852;CG13739;NT_033778.4;gene;3.10627974026867
gene6851;CG13954;NT_033778.4;gene;6.71666106938822
gene6853;CR45918;NT_033778.4;gene;2.69555040301302
gene6854;mir-987;NT_033778.4;gene;0
gene6855;Or45a;NT_033778.4;gene;1.42594929060798
gene6856;CG12158;NT_033778.4;gene;327.971409031828
gene6857;l(2)03659;NT_033778.4;gene;0.999352062525292
gene6858;CG8800;NT_033778.4;gene;0.43210717594439
gene6859;Non1;NT_033778.4;gene;173.351059817785
gene6860;l(2)k10201;NT_033778.4;gene;11.1675301081081
gene6861;CG33774;NT_033778.4;gene;69.161993823893
gene6862;wun;NT_033778.4;gene;33.8808555048971
gene6863;wun2;NT_033778.4;gene;33.1167032205282
gene6864;CG13955;NT_033778.4;gene;0.115724195777649
gene6865;prel;NT_033778.4;gene;52.4084525764905
gene6866;Pdk;NT_033778.4;gene;58.6659309873835
gene6867;ced-6;NT_033778.4;gene;94.6317016152589
gene6868;CR45321;NT_033778.4;gene;0.922648956504018
gene6869;Camta;NT_033778.4;gene;11.1515255971185
gene6870;CG33758;NT_033778.4;gene;0.193572839978866
gene6871;CG33757;NT_033778.4;gene;0.253215756208916
gene6872;Wnt2;NT_033778.4;gene;1.2961364300201
gene6873;brp;NT_033778.4;gene;24.401341378501
gene6874;CG1888;NT_033778.4;gene;16.2289545493043
gene6875;CR43651;NT_033778.4;gene;7.94567955843505
gene6876;mir-14;NT_033778.4;gene;NA
gene6877;CR45281;NT_033778.4;gene;0.886154383374264
gene6878;Or45b;NT_033778.4;gene;0.320951363575794
gene6879;CG1809;NT_033778.4;gene;4.68432066414824
gene6880;Not1;NT_033778.4;gene;44.4860022706558
gene6881;CG1814;NT_033778.4;gene;60.2520672755097
gene6882;CR46257;NT_033778.4;gene;1.39770829030722
gene6883;Smyd4-1;NT_033778.4;gene;6.94913567742903
gene6884;Updo;NT_033778.4;gene;44.7011020610138
gene6885;CG12929;NT_033778.4;gene;19.6402922277669
gene6886;RpL31;NT_033778.4;gene;917.918299616582
gene6887;clos;NT_033778.4;gene;16.3758311218492
gene6888;CG1827;NT_033778.4;gene;11.1880520133887
gene6889;Map60;NT_033778.4;gene;29.9801633594186
gene6891;CG30338;NT_033778.4;gene;3.08894291807035
gene6890;CG1902;NT_033778.4;gene;37.1804783368104
gene6892;CG30340;NT_033778.4;gene;1.04542199068523
gene6893;CG30339;NT_033778.4;gene;5.94444897196755
gene6894;CR44285;NT_033778.4;gene;0.247947323185674
gene6895;GstT1;NT_033778.4;gene;46.2104676754565
gene6896;GstT2;NT_033778.4;gene;26.1243419854406
gene6897;CG12926;NT_033778.4;gene;19.608274678646
gene6898;CR44069;NT_033778.4;gene;0.631310810705486
gene6899;Mmp2;NT_033778.4;gene;11.4455373933208
gene6901;mir-307a;NT_033778.4;gene;NA
gene6900;mir-307b;NT_033778.4;gene;0
gene6902;CR44070;NT_033778.4;gene;0.630379752370328
gene6903;tRNA:iMet-CAT-2-1;NT_033778.4;gene;0
gene6904;Uba1;NT_033778.4;gene;91.5496524904118
gene6905;CG30002;NT_033778.4;gene;12.7776796904756
gene6906;CG1773;NT_033778.4;gene;2.06026088690875
gene6907;CG10459;NT_033778.4;gene;1.44813387565189
gene6908;CR44292;NT_033778.4;gene;0.122408105105078
gene6909;dap;NT_033778.4;gene;15.605183587637
gene6910;sqa;NT_033778.4;gene;20.9327475556058
gene6911;CheA46a;NT_033778.4;gene;0.20927487590083
gene6912;trpl;NT_033778.4;gene;89.0236776839813
gene6913;CG1690;NT_033778.4;gene;13.8790046509276
gene6914;CR44205;NT_033778.4;gene;3.56026016122209
gene6915;CG1688;NT_033778.4;gene;3.50693889403459
gene6916;CR44207;NT_033778.4;gene;0.87310789038795
gene6917;CR44208;NT_033778.4;gene;2.77919105332451
gene6918;CG1698;NT_033778.4;gene;4.36170082583851
gene6919;CG1648;NT_033778.4;gene;134.6562289804
gene6920;lectin-46Cb;NT_033778.4;gene;11.9551229854489
gene6921;lectin-46Ca;NT_033778.4;gene;8.98503272561721
gene6922;CG34033;NT_033778.4;gene;7.06678040882345
gene6923;CG30001;NT_033778.4;gene;4.29262021103831
gene6924;dila;NT_033778.4;gene;0.545396599043738
gene6925;hebe;NT_033778.4;gene;18.8865500621452
gene6926;CG1663;NT_033778.4;gene;9.37887519768358
gene6927;Lsm11;NT_033778.4;gene;4.42551806751302
gene6928;CG1665;NT_033778.4;gene;22.0695845324948
gene6929;Vamp7;NT_033778.4;gene;55.144276756526
gene6930;CG1667;NT_033778.4;gene;18.1856477678895
gene6931;Orc6;NT_033778.4;gene;10.1682904547142
gene6932;Prosalpha7;NT_033778.4;gene;128.864793482487
gene6933;CG1671;NT_033778.4;gene;12.9321350472921
gene6934;PCB;NT_033778.4;gene;58.421529836039
gene6935;CR44293;NT_033778.4;gene;0.666380522283528
gene6936;CG30010;NT_033778.4;gene;14.6754432570503
gene6937;CG46338;NT_033778.4;gene;29.1330338637513
gene6938;Ntmt;NT_033778.4;gene;19.9591674495856
gene6939;CR45138;NT_033778.4;gene;0.0272001346824708
gene6940;CG18446;NT_033778.4;gene;19.7705794583925
gene6941;CG12744;NT_033778.4;gene;14.3085413869534
gene6942;Sec24AB;NT_033778.4;gene;23.8778783117425
gene6943;CR45467;NT_033778.4;gene;1.15364535186658
gene6944;CG1513;NT_033778.4;gene;40.1968839254237
gene6945;CG12923;NT_033778.4;gene;4.03455917772258
gene6946;CG30008;NT_033778.4;gene;159.367525492222
gene6947;tea;NT_033778.4;gene;5.5320929327037
gene6948;CG1441;NT_033778.4;gene;9.76335603594084
gene6949;FMRFa;NT_033778.4;gene;11.3956769108622
gene6950;Etf-QO;NT_033778.4;gene;41.5361288674002
gene6951;Mef2;NT_033778.4;gene;19.366382915432
gene6952;CG15863;NT_033778.4;gene;12.502847555301
gene6953;Pal1;NT_033778.4;gene;35.5877639497392
gene6954;CG1418;NT_033778.4;gene;29.4149344730788
gene6955;CG12133;NT_033778.4;gene;0.0475649183388831
gene6956;eIF3j;NT_033778.4;gene;79.5598884075153
gene6957;CG12134;NT_033778.4;gene;13.4383348768035
gene6958;CR43948;NT_033778.4;gene;0.0284310949430204
gene6959;eve;NT_033778.4;gene;0.0260481896368498
gene6960;CR45324;NT_033778.4;gene;0.216381721258401
gene6961;TER94;NT_033778.4;gene;138.818045399091
gene6962;Pka-R2;NT_033778.4;gene;44.5447415643742
gene6963;mir-4967;NT_033778.4;gene;NA
gene6964;CR44294;NT_033778.4;gene;1.71403429046809
gene6965;CG12128;NT_033778.4;gene;22.1408147063363
gene6966;CG1407;NT_033778.4;gene;21.880054547378
gene6967;CG12129;NT_033778.4;gene;28.7308478618125
gene6968;oys;NT_033778.4;gene;50.1429834828563
gene6969;CG34220;NT_033778.4;gene;139.822631751706
gene6970;CR44295;NT_033778.4;gene;0.914788118707605
gene6971;COX7C;NT_033778.4;gene;1445.26921616
gene6972;CG44296;NT_033778.4;gene;28.3037755373201
gene6973;sel;NT_033778.4;gene;35.4988228559991
gene6974;magu;NT_033778.4;gene;16.2193814332848
gene6975;CR44297;NT_033778.4;gene;0.793213994592767
gene6976;CR44298;NT_033778.4;gene;7.24595207690276
gene6977;Def;NT_033778.4;gene;33.6883782314748
gene6978;PIG-N;NT_033778.4;gene;4.28887037551953
gene6979;mRpL42;NT_033778.4;gene;69.7605168251773
gene6980;Cdc2rk;NT_033778.4;gene;11.4220914299754
gene6981;CG12920;NT_033778.4;gene;0.160300222147496
gene6982;CG1371;NT_033778.4;gene;26.6383157752507
gene6983;egr;NT_033778.4;gene;12.6801746754178
gene6984;scaRNA:MeU1b-A234;NT_033778.4;gene;0.162633180330531
gene6985;CG2269;NT_033778.4;gene;98.1099779071075
gene6986;sut4;NT_033778.4;gene;13.3102532056204
gene6987;Jra;NT_033778.4;gene;26.6563322920336
gene6988;RpLP0-like;NT_033778.4;gene;40.9855648470256
gene6989;14-3-3zeta;NT_033778.4;gene;421.844190816474
gene6990;Pfk;NT_033778.4;gene;98.9645973431433
gene6991;dmpd;NT_033778.4;gene;19.3996457975849
gene6992;Ccs;NT_033778.4;gene;15.4068128573184
gene6993;gem;NT_033778.4;gene;75.7987243145779
gene6994;CG46319;NT_033778.4;gene;12.0596109704095
gene6995;CG12917;NT_033778.4;gene;2.07208886527748
gene6996;CR43467;NT_033778.4;gene;0.0600569836554429
gene6997;Or46a;NT_033778.4;gene;0.254946715244691
gene6998;CG18011;NT_033778.4;gene;3.94989644945337
gene6999;KCNQ;NT_033778.4;gene;8.04606055971668
gene7000;CR45133;NT_033778.4;gene;3.53015063947722
gene7001;mlt;NT_033778.4;gene;64.2722463467487
gene7002;CG34221;NT_033778.4;gene;0.159078246163134
gene7003;Hr3;NT_033778.4;gene;7.4825535398609
gene7005;CG46321;NT_033778.4;gene;0.202412227528307
gene7004;CG12912;NT_033778.4;gene;0.562830386992161
gene7006;CR46322;NT_033778.4;gene;0.6443447352131
gene7007;CR45265;NT_033778.4;gene;0.0621945528861843
gene7008;Hdc;NT_033778.4;gene;5.11317819172613
gene7009;CG12209;NT_033778.4;gene;4.33731679382395
gene7010;CG12914;NT_033778.4;gene;1.88648447110804
gene7011;CG12913;NT_033778.4;gene;5.77105032802161
gene7012;Syb;NT_033778.4;gene;84.4867281792363
gene7013;CG12911;NT_033778.4;gene;0.236650427069152
gene7014;CR30009;NT_033778.4;gene;0.477144356120024
gene7015;CG12910;NT_033778.4;gene;2.62267140044155
gene7016;CAP;NT_033778.4;gene;51.596283859826
gene7017;JhI-1;NT_033778.4;gene;5.61955193883456
gene7018;CG12909;NT_033778.4;gene;23.2595226430042
gene7019;Obp46a;NT_033778.4;gene;0.0348441534797638
gene7020;Ndg;NT_033778.4;gene;2.20101902972336
gene7021;CG34222;NT_033778.4;gene;9.06099029251791
gene7022;SLO2;NT_033778.4;gene;16.4158673411764
gene7024;CG43172;NT_033778.4;gene;38.4336923058538
gene7025;CG46305;NT_033778.4;gene;NA
gene7023;CG43200;NT_033778.4;gene;23.7511844829803
gene7026;CG43178;NT_033778.4;gene;8.60894283653472
gene7028;CG43171;NT_033778.4;gene;NA
gene7027;CG43201;NT_033778.4;gene;5.7998451894279
gene7029;CG46298;NT_033778.4;gene;13.968317444544
gene7030;CG12902;NT_033778.4;gene;53.2287035095829
gene7031;CG43397;NT_033778.4;gene;NA
gene7032;CG42733;NT_033778.4;gene;13.0672777514777
gene7033;CG43396;NT_033778.4;gene;2.02370729107732
gene7034;Gr47a;NT_033778.4;gene;0.703778119862827
gene7035;Ir47b;NT_033778.4;pseudogene;0.454487320155898
gene7036;Ir47a;NT_033778.4;gene;1.13713860998123
gene7037;CG12898;NT_033778.4;gene;0.269236712706789
gene7038;CR43177;NT_033778.4;pseudogene;0.323214775828244
gene7039;CG33477;NT_033778.4;gene;0.233577990602044
gene7040;CG33476;NT_033778.4;gene;0.337811423222651
gene7041;CG33475;NT_033778.4;gene;0.432691602689637
gene7042;Prx2540-2;NT_033778.4;gene;11.1222065284419
gene7043;CG11825;NT_033778.4;gene;14.7762154820189
gene7044;CG33474;NT_033778.4;gene;1.37659157892657
gene7045;Prx2540-1;NT_033778.4;gene;6.37808181022521
gene7046;CG12896;NT_033778.4;gene;6.27195474484917
gene7047;RanBPM;NT_033778.4;gene;33.7133229618036
gene7048;CG12895;NT_033778.4;gene;47.3353022526995
gene7049;Galphao;NT_033778.4;gene;49.3954855568747
gene7050;Cyp49a1;NT_033778.4;gene;3.27072987154259
gene7051;Caf1-105;NT_033778.4;gene;17.1824270178941
gene7052;CG11777;NT_033778.4;gene;17.9828749580574
gene7053;whd;NT_033778.4;gene;72.4632767939177
gene7054;CR45134;NT_033778.4;gene;1.38867295376696
gene7055;trsn;NT_033778.4;gene;26.7958598638293
gene7056;CG17765;NT_033778.4;gene;62.6846851607154
gene7058;pre-lola-G;NT_033778.4;gene;8.28464159993684
gene7057;lola;NT_033778.4;gene;131.831586624643
gene7059;snoRNA:lola-a;NT_033778.4;gene;7.41691566562197
gene7060;snoRNA:lola-b;NT_033778.4;gene;8.94583593139597
gene7061;snoRNA:lola-c;NT_033778.4;gene;1.22144380124277
gene7062;snoRNA:lola-d;NT_033778.4;gene;0.856525665818683
gene7063;CR45135;NT_033778.4;gene;0.654954284890832
gene7064;acal;NT_033778.4;gene;0.106588965404136
gene7065;psq;NT_033778.4;gene;28.9107664073913
gene7066;CG11883;NT_033778.4;gene;21.7619390373976
gene7067;Git;NT_033778.4;gene;10.8482840339877
gene7068;Elp2;NT_033778.4;gene;8.27026672575807
gene7069;CG12934;NT_033778.4;gene;0.572329169198647
gene7070;CR44452;NT_033778.4;gene;0.0247347840676126
gene7071;CR46229;NT_033778.4;gene;0.073180062727763
gene7072;stan;NT_033778.4;gene;2.84480127225501
gene7073;Rab3;NT_033778.4;gene;57.3250376157838
gene7074;CG12309;NT_033778.4;gene;8.96254647036079
gene7075;CG12338;NT_033778.4;gene;40.0642107030959
gene7076;CG7220;NT_033778.4;gene;91.4558347480472
gene7077;Mat1;NT_033778.4;gene;20.0883487448717
gene7078;CG33144;NT_033778.4;gene;16.4301811409695
gene7079;CR43605;NT_033778.4;gene;1.17470353581639
gene7080;CR44299;NT_033778.4;gene;0.802499335744482
gene7081;CR44300;NT_033778.4;gene;2.2601276274049
gene7082;CR44301;NT_033778.4;gene;0.988810312752463
gene7083;mthl13;NT_033778.4;gene;0.473285302067269
gene7084;wde;NT_033778.4;gene;14.4088780024193
gene7085;CG12935;NT_033778.4;gene;17.1332558573817
gene7086;CG7637;NT_033778.4;gene;105.054600032053
gene7087;mms4;NT_033778.4;gene;7.3301700404414
gene7088;CG12341;NT_033778.4;gene;16.7608158292862
gene7089;CG7222;NT_033778.4;gene;34.901508654512
gene7090;dgo;NT_033778.4;gene;3.22164848472758
gene7091;Prosbeta5;NT_033778.4;gene;122.974989970829
gene7092;Lsm10;NT_033778.4;gene;14.4940940178815
gene7093;RpS15Ab;NT_033778.4;gene;53.1902328648997
gene7094;CG12343;NT_033778.4;gene;26.1076168205765
gene7095;CG12325;NT_033778.4;gene;9.67706293146757
gene7096;CG12344;NT_033778.4;gene;6.16862580602216
gene7097;LTV1;NT_033778.4;gene;80.2196083241442
gene7098;CG30015;NT_033778.4;gene;19.6398617143666
gene7099;CR45136;NT_033778.4;gene;0.393273575812783
gene7100;CR44302;NT_033778.4;gene;2.13582668803633
gene7101;CG30016;NT_033778.4;gene;26.8444510733922
gene7102;nclb;NT_033778.4;gene;18.9578002483951
gene7103;Taf5;NT_033778.4;gene;13.7458283406778
gene7104;Pex6;NT_033778.4;gene;11.9102643736031
gene7105;CG18003;NT_033778.4;gene;20.7546837323324
gene7106;CG18004;NT_033778.4;gene;9.76654591963757
gene7107;mir-1008;NT_033778.4;gene;NA
gene7108;CG30020;NT_033778.4;gene;12.5641729375864
gene7109;cag;NT_033778.4;gene;10.4389117103235
gene7110;CG12942;NT_033778.4;gene;9.93387696685955
gene7111;ND-B14;NT_033778.4;gene;154.296030602218
gene7112;Rpb5;NT_033778.4;gene;23.9055167501958
gene7113;polyph;NT_033778.4;gene;0.952171771878581
gene7114;Obp47a;NT_033778.4;gene;0.0599136043757183
gene7115;Spn47C;NT_033778.4;gene;10.9257200389943
gene7116;CR45228;NT_033778.4;gene;0.129864465529052
gene7117;luna;NT_033778.4;gene;2.27398611316472
gene7118;CG43188;NT_033778.4;gene;0.642146251690325
gene7119;CG43189;NT_033778.4;gene;0.368356379068374
gene7120;Cyp12d1-p;NT_033778.4;gene;4.5844837823088
gene7121;Cyp12d1-d;NT_033778.4;gene;0.200207190997556
gene7122;BBS4;NT_033778.4;gene;1.07616337272709
gene7123;CG13229;NT_033778.4;gene;3.08896147961314
gene7124;CG13231;NT_033778.4;gene;0.177661626924887
gene7125;CG12391;NT_033778.4;gene;22.1026216320037
gene7126;CG13230;NT_033778.4;gene;0.229426296616423
gene7127;shn;NT_033778.4;gene;7.74136489408882
gene7128;CG9084;NT_033778.4;gene;4.12435770512424
gene7129;Syx6;NT_033778.4;gene;43.6196404576013
gene7130;CG7737;NT_033778.4;gene;13.91775644014
gene7131;metro;NT_033778.4;gene;24.3287765036681
